budget_id,user_id,category_id,monthly_limit
267,0,5,4752991
268,0,5,7193677
269,1,6,7859656
270,1,8,5198518
271,1,6,5973617
272,0,7,5617852
273,0,7,9084639
274,0,8,9941400
275,0,6,8578395
276,1,7,2051743
277,1,8,1850986
278,1,5,8658435
279,1,1,8513977
280,1,2,2990644
281,0,1,9878088
282,1,7,4073792
283,0,6,5388937
284,1,5,4087688
285,0,1,4491022
286,0,1,4360375
287,0,4,9703725
288,0,3,2666038
289,1,2,2532789
290,1,7,3014984
291,0,4,9740507
292,0,7,9385783
293,0,7,1348413
294,0,3,3657606
295,1,8,5149060
296,0,4,5481185
297,0,2,5919293
298,0,7,6589618
299,1,5,4782112
300,1,3,3171688
