transaction_id,account_id,category_id,amount,payment_method,transaction_date
93,70,5,2147,QR Payment,6/3/2025
94,77,4,4626,QR Payment,2/25/2026
95,120,2,2804,Debit Card,12/28/2025
96,16,6,2333,Bank Transfer,7/12/2025
97,30,4,2180,QR Payment,1/22/2026
98,106,6,2586,QR Payment,1/25/2026
99,87,1,4404,Credit Card,6/22/2025
100,26,1,4319,Debit Card,10/18/2025
101,18,4,523,Credit Card,3/28/2026
102,104,5,3803,E-wallet,2/13/2026
103,93,7,4297,Debit Card,6/6/2025
104,109,5,1037,E-wallet,4/21/2026
105,2,7,3624,E-wallet,4/24/2026
106,102,5,772,E-wallet,1/25/2026
107,84,8,2639,Debit Card,4/20/2026
108,25,1,4542,Credit Card,8/22/2025
109,99,1,4319,QR Payment,3/23/2026
110,70,1,814,Credit Card,3/28/2026
111,2,7,1490,QR Payment,4/24/2026
112,91,2,3919,Bank Transfer,2/26/2026
113,93,5,1018,Bank Transfer,6/1/2025
114,95,5,1435,Credit Card,12/15/2025
115,66,3,1721,Credit Card,6/11/2025
116,29,2,3223,Debit Card,6/17/2025
117,45,2,4669,QR Payment,3/22/2026
118,104,3,2250,Bank Transfer,9/1/2025
119,10,8,527,Bank Transfer,2/23/2026
120,119,8,581,QR Payment,5/17/2026
121,50,5,3914,Bank Transfer,1/7/2026
122,61,5,4586,Debit Card,3/22/2026
123,78,2,1168,E-wallet,7/23/2025
124,29,3,1196,Bank Transfer,10/2/2025
125,62,1,4354,Bank Transfer,12/4/2025
126,37,1,2245,QR Payment,4/9/2026
127,58,2,1448,Bank Transfer,3/17/2026
128,107,7,2547,Bank Transfer,6/4/2025
129,54,1,3609,Debit Card,8/24/2025
130,46,6,2491,E-wallet,12/17/2025
131,8,7,3420,Debit Card,9/27/2025
132,34,2,4508,E-wallet,5/15/2026
133,71,4,1858,Credit Card,11/14/2025
134,60,6,1655,Debit Card,9/12/2025
135,85,2,4308,Bank Transfer,1/12/2026
136,120,6,3391,Debit Card,1/17/2026
137,7,7,846,QR Payment,2/6/2026
138,23,8,2923,Bank Transfer,9/30/2025
139,31,3,1346,E-wallet,10/3/2025
140,90,8,775,E-wallet,8/8/2025
141,14,2,85,E-wallet,7/5/2025
142,90,5,1211,Bank Transfer,7/14/2025
143,89,4,2197,Credit Card,8/23/2025
144,32,4,553,Bank Transfer,11/15/2025
145,33,5,3094,Credit Card,1/19/2026
146,49,2,3298,Bank Transfer,10/26/2025
147,109,1,2219,Debit Card,12/6/2025
148,50,5,4619,E-wallet,1/26/2026
149,115,5,4562,Debit Card,1/26/2026
150,100,4,3999,Debit Card,12/30/2025
151,2,3,4848,Credit Card,5/2/2026
152,87,4,4533,Credit Card,4/20/2026
153,43,7,1952,E-wallet,6/14/2025
154,77,1,1935,Debit Card,6/10/2025
155,72,2,2118,Bank Transfer,3/23/2026
156,101,8,2258,Credit Card,6/8/2025
157,48,3,572,E-wallet,10/18/2025
158,110,2,4727,E-wallet,2/20/2026
159,14,6,3026,Credit Card,4/20/2026
160,104,3,2551,Debit Card,4/22/2026
161,46,2,1341,E-wallet,5/29/2025
162,66,3,3991,Credit Card,11/28/2025
163,75,3,220,Credit Card,6/30/2025
164,97,2,3245,QR Payment,6/18/2025
165,10,8,3464,E-wallet,10/29/2025
166,4,3,3558,QR Payment,10/23/2025
167,44,1,66,Credit Card,9/28/2025
168,35,7,1719,Debit Card,10/25/2025
169,46,3,4775,Debit Card,7/14/2025
170,31,1,4008,QR Payment,10/31/2025
171,106,2,353,Bank Transfer,12/23/2025
172,95,4,1061,E-wallet,3/29/2026
173,48,2,1881,QR Payment,2/5/2026
174,54,5,706,Credit Card,10/21/2025
175,34,2,991,Debit Card,7/21/2025
176,2,5,2719,Credit Card,9/4/2025
177,60,8,4390,Debit Card,1/18/2026
178,34,5,1874,QR Payment,6/3/2025
179,25,7,2669,E-wallet,1/17/2026
180,48,8,4227,Bank Transfer,1/19/2026
181,26,7,2655,Credit Card,7/1/2025
182,114,8,4272,E-wallet,11/27/2025
183,30,2,2800,Credit Card,6/28/2025
184,7,4,1399,Bank Transfer,9/12/2025
185,10,2,1292,Credit Card,9/10/2025
186,12,3,2615,Bank Transfer,7/3/2025
187,13,4,1764,Debit Card,10/24/2025
188,112,6,3125,Credit Card,10/16/2025
189,71,7,2700,E-wallet,4/2/2026
190,108,1,4867,Bank Transfer,10/3/2025
191,83,8,2225,Bank Transfer,8/7/2025
192,4,5,2624,Debit Card,11/23/2025
193,87,5,618,Credit Card,3/9/2026
194,15,8,590,Credit Card,6/10/2025
195,88,3,2343,Bank Transfer,6/2/2025
196,55,4,264,QR Payment,3/24/2026
197,51,3,1620,Bank Transfer,3/3/2026
198,111,7,1808,Credit Card,10/14/2025
199,43,4,3267,Credit Card,1/13/2026
200,85,8,4553,Debit Card,6/11/2025
201,18,7,4156,E-wallet,2/21/2026
202,26,3,2645,Credit Card,1/16/2026
203,39,4,1861,QR Payment,9/20/2025
204,91,3,2933,Credit Card,12/24/2025
205,119,4,1375,Credit Card,1/24/2026
206,41,3,3731,Debit Card,3/11/2026
207,69,2,4089,QR Payment,4/11/2026
208,89,8,76,Credit Card,2/24/2026
209,86,3,56,Bank Transfer,9/23/2025
210,32,6,1287,QR Payment,12/9/2025
211,49,1,3960,Debit Card,7/22/2025
212,109,4,3508,Debit Card,9/28/2025
213,102,7,3715,Bank Transfer,5/17/2026
214,118,7,2497,Debit Card,8/8/2025
215,30,7,4180,QR Payment,1/25/2026
216,70,8,2866,Credit Card,7/7/2025
217,17,6,941,Debit Card,4/13/2026
218,73,7,1279,Bank Transfer,8/23/2025
219,52,4,3665,Bank Transfer,4/9/2026
220,113,8,1088,Credit Card,2/10/2026
221,120,8,2561,E-wallet,6/11/2025
222,117,7,3813,Bank Transfer,3/5/2026
223,106,6,249,Bank Transfer,2/16/2026
224,66,7,1288,Bank Transfer,3/19/2026
225,27,1,1118,E-wallet,7/1/2025
226,92,7,2271,Debit Card,12/3/2025
227,38,4,1756,QR Payment,2/22/2026
228,38,7,1230,E-wallet,6/12/2025
229,29,3,1172,E-wallet,8/20/2025
230,60,1,3497,Credit Card,4/18/2026
231,115,2,4173,QR Payment,12/10/2025
232,94,1,1004,Debit Card,2/17/2026
233,5,6,1803,Debit Card,9/16/2025
234,69,1,2244,Credit Card,2/4/2026
235,73,2,4597,Debit Card,12/20/2025
236,3,1,1991,QR Payment,11/21/2025
237,42,5,1606,E-wallet,5/29/2025
238,2,5,382,E-wallet,9/26/2025
239,37,2,3327,QR Payment,8/25/2025
240,101,2,1894,QR Payment,11/1/2025
241,7,4,4809,Bank Transfer,6/12/2025
242,101,8,3263,E-wallet,4/17/2026
243,11,8,806,Debit Card,5/16/2026
244,41,1,2187,Bank Transfer,9/16/2025
245,32,2,1904,Debit Card,5/25/2025
246,65,8,4032,QR Payment,4/8/2026
247,59,5,3814,Credit Card,12/5/2025
248,108,2,1601,Credit Card,9/12/2025
249,108,6,2327,Bank Transfer,8/13/2025
250,106,7,428,Debit Card,7/11/2025
251,53,5,2339,E-wallet,11/5/2025
252,75,4,1081,Credit Card,10/10/2025
253,76,3,3883,E-wallet,3/27/2026
254,118,5,1420,QR Payment,9/16/2025
255,49,7,2299,E-wallet,8/14/2025
256,52,8,272,Bank Transfer,12/22/2025
257,49,5,1917,QR Payment,12/6/2025
258,114,2,502,E-wallet,5/8/2026
259,88,4,2861,QR Payment,2/1/2026
260,56,5,326,Bank Transfer,7/25/2025
261,40,1,1494,Bank Transfer,3/23/2026
262,98,3,2814,Credit Card,8/2/2025
263,21,4,4945,QR Payment,11/27/2025
264,24,3,1242,QR Payment,7/11/2025
265,58,4,4025,Credit Card,6/12/2025
266,99,4,2189,Debit Card,1/11/2026
267,45,6,3659,Credit Card,3/30/2026
268,78,5,1016,E-wallet,3/8/2026
269,118,3,2052,Bank Transfer,9/13/2025
270,35,6,4523,E-wallet,11/26/2025
271,9,7,2202,QR Payment,5/3/2026
272,115,2,3747,Bank Transfer,11/9/2025
273,27,7,3152,E-wallet,6/28/2025
274,83,8,90,E-wallet,12/10/2025
275,77,1,554,QR Payment,1/2/2026
276,98,5,472,Credit Card,2/24/2026
277,115,2,452,QR Payment,5/11/2026
278,34,4,1306,QR Payment,10/30/2025
279,25,4,4522,Debit Card,9/28/2025
280,111,4,2186,Bank Transfer,7/9/2025
281,103,3,1370,Credit Card,1/23/2026
282,18,4,2183,E-wallet,8/10/2025
283,56,7,3703,Bank Transfer,1/30/2026
284,32,6,3136,Bank Transfer,8/13/2025
285,18,4,3922,QR Payment,2/14/2026
286,17,2,1392,Debit Card,10/18/2025
287,117,4,1512,Credit Card,9/11/2025
288,43,5,3934,Bank Transfer,11/16/2025
289,108,1,1680,Credit Card,10/11/2025
290,103,8,3813,E-wallet,1/17/2026
291,107,2,2563,Debit Card,9/2/2025
292,72,7,4749,Credit Card,10/7/2025
293,115,4,1055,Debit Card,7/30/2025
294,77,7,3331,E-wallet,6/30/2025
295,41,4,850,Bank Transfer,1/3/2026
296,23,3,3712,E-wallet,1/6/2026
297,40,4,698,Bank Transfer,12/20/2025
298,19,6,3567,Debit Card,8/7/2025
299,55,1,2181,E-wallet,10/6/2025
300,79,8,4028,Debit Card,10/7/2025
301,49,8,2707,Credit Card,3/17/2026
302,28,6,916,Bank Transfer,6/18/2025
303,91,8,91,E-wallet,11/16/2025
304,110,8,4868,Debit Card,7/2/2025
305,6,8,2238,E-wallet,9/16/2025
306,11,7,2020,E-wallet,2/12/2026
307,44,4,1049,QR Payment,11/24/2025
308,62,8,230,Bank Transfer,5/1/2026
309,55,2,4920,Debit Card,5/7/2026
310,101,2,246,QR Payment,5/27/2025
311,101,4,4395,Debit Card,8/15/2025
312,53,7,238,Debit Card,10/21/2025
313,76,1,3459,Credit Card,10/3/2025
314,78,5,1677,Debit Card,2/20/2026
315,15,8,2560,Credit Card,11/29/2025
316,95,1,1658,E-wallet,3/16/2026
317,109,5,150,E-wallet,11/9/2025
318,6,5,3341,QR Payment,8/8/2025
319,52,4,814,Debit Card,10/29/2025
320,40,7,772,Debit Card,3/12/2026
321,96,8,3703,Bank Transfer,4/25/2026
322,77,2,1974,E-wallet,5/10/2026
323,67,8,3274,E-wallet,6/20/2025
324,100,3,1700,Debit Card,5/22/2025
325,19,3,2234,E-wallet,9/3/2025
326,90,6,418,QR Payment,5/21/2025
327,62,6,940,Bank Transfer,9/16/2025
328,67,5,3740,Debit Card,3/12/2026
329,108,2,2910,E-wallet,9/8/2025
330,16,7,2233,E-wallet,11/12/2025
331,44,6,2464,Bank Transfer,1/18/2026
332,97,7,1491,Bank Transfer,8/4/2025
333,68,2,2604,E-wallet,8/8/2025
334,39,7,3711,QR Payment,8/3/2025
335,85,8,2234,Debit Card,6/14/2025
336,109,8,297,Bank Transfer,9/19/2025
337,60,7,3560,Credit Card,7/10/2025
338,111,8,755,Bank Transfer,1/27/2026
339,70,1,3968,Debit Card,8/30/2025
340,6,2,2166,QR Payment,8/10/2025
341,29,3,2578,QR Payment,9/21/2025
342,19,3,1475,Debit Card,10/13/2025
343,59,3,3190,Debit Card,1/31/2026
344,10,5,2518,Credit Card,1/8/2026
345,100,7,3474,QR Payment,7/8/2025
346,39,1,2042,Debit Card,3/9/2026
347,96,4,1595,E-wallet,1/20/2026
348,81,6,3089,QR Payment,3/30/2026
349,15,5,3718,Credit Card,8/5/2025
350,53,8,2210,E-wallet,5/30/2025
351,51,6,3852,Bank Transfer,6/16/2025
352,51,8,718,E-wallet,8/24/2025
353,114,1,3124,QR Payment,4/6/2026
354,76,2,3436,QR Payment,6/3/2025
355,55,5,2351,Debit Card,6/6/2025
356,107,2,3107,Credit Card,8/10/2025
357,51,1,899,Debit Card,2/11/2026
358,54,4,724,Debit Card,6/30/2025
359,31,4,2775,Debit Card,4/11/2026
360,119,8,1465,Bank Transfer,9/16/2025
361,10,5,1792,Debit Card,8/5/2025
362,119,5,158,Debit Card,3/28/2026
363,31,4,1249,Debit Card,3/24/2026
364,87,4,3910,Debit Card,8/20/2025
365,79,2,1456,Credit Card,1/1/2026
366,37,1,951,Bank Transfer,4/15/2026
367,48,1,4134,Credit Card,6/27/2025
368,100,7,1872,E-wallet,3/20/2026
369,25,3,2998,QR Payment,2/27/2026
370,5,1,3855,Debit Card,1/30/2026
371,27,5,587,E-wallet,6/9/2025
372,50,2,2170,Credit Card,12/4/2025
373,112,2,1301,Bank Transfer,4/5/2026
374,47,6,4655,Bank Transfer,8/4/2025
375,87,8,2227,Bank Transfer,6/19/2025
376,43,3,3182,Debit Card,4/10/2026
377,10,1,1040,QR Payment,9/21/2025
378,102,8,853,Bank Transfer,6/8/2025
379,65,2,787,Debit Card,10/24/2025
380,99,4,3032,Bank Transfer,1/30/2026
381,15,2,3170,Debit Card,10/15/2025
382,82,4,2021,E-wallet,5/23/2025
383,76,5,3135,QR Payment,6/15/2025
384,94,5,1491,Debit Card,8/26/2025
385,113,2,3404,Credit Card,5/8/2026
386,71,1,779,E-wallet,10/21/2025
387,84,1,2545,Debit Card,2/1/2026
388,51,7,4148,Debit Card,4/1/2026
389,31,7,1350,Bank Transfer,5/21/2025
390,102,2,1494,QR Payment,6/18/2025
391,120,8,4411,Credit Card,1/12/2026
392,59,5,967,Bank Transfer,11/16/2025
393,107,3,1087,QR Payment,2/20/2026
394,15,5,3281,Credit Card,6/9/2025
395,97,6,2319,Credit Card,11/12/2025
396,88,8,4020,QR Payment,1/4/2026
397,19,8,651,Debit Card,2/4/2026
398,116,1,1534,QR Payment,4/11/2026
399,31,6,4934,Credit Card,12/16/2025
400,82,3,2586,Bank Transfer,8/29/2025
401,107,1,1935,E-wallet,5/16/2026
402,8,5,2839,Debit Card,10/1/2025
403,44,3,2175,Credit Card,1/20/2026
404,46,4,790,Debit Card,3/11/2026
405,80,1,3595,E-wallet,8/24/2025
406,5,7,2203,Debit Card,12/6/2025
407,102,7,3354,Debit Card,3/12/2026
408,75,6,4519,QR Payment,12/24/2025
409,110,6,1827,Credit Card,7/1/2025
410,99,4,4026,Credit Card,11/8/2025
411,66,4,977,QR Payment,7/24/2025
412,78,6,349,E-wallet,9/9/2025
413,53,3,1299,E-wallet,5/26/2025
414,76,3,1441,Bank Transfer,12/11/2025
415,92,8,3639,E-wallet,8/15/2025
416,79,6,3519,Debit Card,10/18/2025
417,94,5,2425,Debit Card,10/6/2025
418,42,8,2595,E-wallet,9/16/2025
419,34,3,3668,Credit Card,10/22/2025
420,38,5,1486,Credit Card,1/16/2026
421,93,6,575,Credit Card,11/25/2025
422,54,2,3662,E-wallet,6/26/2025
423,7,5,3530,QR Payment,8/4/2025
424,86,8,4991,Credit Card,2/18/2026
425,118,3,1598,QR Payment,7/16/2025
426,26,2,3638,E-wallet,11/29/2025
427,100,8,456,QR Payment,4/22/2026
428,51,7,3589,Bank Transfer,4/1/2026
429,70,6,3175,QR Payment,9/5/2025
430,115,7,381,Bank Transfer,6/8/2025
431,59,1,1701,QR Payment,9/23/2025
432,99,6,4476,Debit Card,9/12/2025
433,114,4,2987,QR Payment,9/8/2025
434,9,1,2041,Bank Transfer,5/25/2025
435,53,3,3965,Bank Transfer,3/29/2026
436,20,4,1297,E-wallet,9/16/2025
437,96,7,854,Debit Card,4/6/2026
438,8,7,3342,QR Payment,6/3/2025
439,102,7,485,E-wallet,10/3/2025
440,59,5,2413,Bank Transfer,7/27/2025
441,84,3,1335,Credit Card,2/19/2026
442,19,1,3174,Credit Card,9/14/2025
443,41,8,4031,Debit Card,1/3/2026
444,54,1,1804,Debit Card,5/7/2026
445,113,5,3448,Debit Card,10/21/2025
446,36,2,2996,Credit Card,9/11/2025
447,100,7,2854,Debit Card,7/11/2025
448,86,6,2301,Debit Card,5/26/2025
449,52,4,2601,Debit Card,8/12/2025
450,3,7,4985,E-wallet,1/7/2026
451,28,7,3122,Bank Transfer,2/13/2026
452,102,1,3647,Debit Card,6/19/2025
453,37,8,4042,E-wallet,1/27/2026
454,17,8,1877,QR Payment,1/25/2026
455,52,3,2262,Debit Card,8/25/2025
456,19,2,3469,Credit Card,11/5/2025
457,25,8,561,Bank Transfer,11/7/2025
458,91,3,940,QR Payment,11/7/2025
459,32,4,3459,QR Payment,5/26/2025
460,19,5,108,E-wallet,12/18/2025
461,117,4,610,E-wallet,7/20/2025
462,3,3,219,Bank Transfer,9/14/2025
463,107,7,774,Bank Transfer,4/7/2026
464,100,5,385,Bank Transfer,12/4/2025
465,114,7,1630,Credit Card,11/3/2025
466,52,5,3510,Credit Card,10/29/2025
467,45,2,1059,Bank Transfer,5/13/2026
468,6,1,1134,QR Payment,8/1/2025
469,78,6,1915,Bank Transfer,8/4/2025
470,46,7,1878,QR Payment,8/29/2025
471,18,1,1250,Debit Card,11/16/2025
472,21,2,3701,QR Payment,2/6/2026
473,14,7,4697,QR Payment,7/28/2025
474,76,2,2483,E-wallet,8/14/2025
475,67,3,4892,Credit Card,3/28/2026
476,48,4,181,E-wallet,10/14/2025
477,38,4,2407,Credit Card,7/5/2025
478,97,5,581,Debit Card,4/8/2026
479,98,4,2670,Debit Card,8/8/2025
480,35,1,535,Bank Transfer,10/15/2025
481,91,7,3235,Bank Transfer,2/22/2026
482,120,3,699,E-wallet,3/7/2026
483,75,5,158,Debit Card,5/5/2026
484,28,1,1575,QR Payment,10/5/2025
485,85,8,4081,Credit Card,12/24/2025
486,26,8,2057,Bank Transfer,1/6/2026
487,96,7,1159,QR Payment,9/10/2025
488,103,8,3633,Credit Card,7/30/2025
489,31,1,524,E-wallet,3/20/2026
490,77,1,4555,Credit Card,6/24/2025
491,87,4,2469,QR Payment,8/27/2025
492,57,3,4807,QR Payment,8/20/2025
493,107,5,318,Credit Card,10/8/2025
494,108,2,1667,E-wallet,4/7/2026
495,8,7,4171,Credit Card,10/30/2025
496,59,4,2672,Bank Transfer,5/7/2026
497,50,7,2272,QR Payment,9/25/2025
498,86,1,2456,E-wallet,7/6/2025
499,85,6,1343,Debit Card,4/26/2026
500,106,6,1449,E-wallet,5/15/2026
501,33,7,3335,Bank Transfer,1/1/2026
502,64,4,2161,Debit Card,6/9/2025
503,84,3,4895,Bank Transfer,3/21/2026
504,6,5,1799,Credit Card,1/13/2026
505,101,8,693,Credit Card,12/1/2025
506,117,6,465,QR Payment,7/12/2025
507,107,8,2484,Debit Card,7/19/2025
508,83,6,794,Debit Card,9/21/2025
509,16,1,4772,Debit Card,7/19/2025
510,41,1,3365,E-wallet,9/14/2025
511,93,4,4527,E-wallet,10/30/2025
512,20,1,3114,Debit Card,12/8/2025
513,12,5,1432,Debit Card,3/1/2026
514,13,4,3590,Bank Transfer,1/11/2026
515,5,5,1669,Bank Transfer,1/24/2026
516,41,5,914,Credit Card,6/13/2025
517,48,6,4211,E-wallet,5/21/2025
518,107,1,2279,QR Payment,9/19/2025
519,16,8,3873,E-wallet,8/22/2025
520,64,8,4920,Debit Card,7/14/2025
521,80,6,4850,E-wallet,9/15/2025
522,10,7,1194,Bank Transfer,10/11/2025
523,93,7,4988,E-wallet,2/14/2026
524,115,3,3769,Credit Card,1/11/2026
525,85,2,2641,E-wallet,12/16/2025
526,35,6,931,E-wallet,7/2/2025
527,32,5,4185,E-wallet,12/18/2025
528,54,5,2687,Bank Transfer,4/3/2026
529,113,1,2857,Debit Card,9/30/2025
530,30,2,3386,E-wallet,2/25/2026
531,64,3,3345,Credit Card,10/11/2025
532,4,8,3357,Credit Card,6/7/2025
533,46,8,4888,Credit Card,12/6/2025
534,9,2,3744,Bank Transfer,10/31/2025
535,29,3,3739,Credit Card,11/7/2025
536,84,7,2053,Bank Transfer,5/12/2026
537,117,1,4583,Debit Card,2/24/2026
538,60,6,4779,Debit Card,2/6/2026
539,50,8,4820,E-wallet,1/19/2026
540,50,7,2020,Credit Card,10/14/2025
541,62,1,2714,QR Payment,11/4/2025
542,5,1,2025,QR Payment,1/21/2026
543,15,3,1997,E-wallet,5/22/2025
544,84,2,4464,QR Payment,9/24/2025
545,84,2,1606,Credit Card,12/13/2025
546,14,7,4162,Debit Card,9/3/2025
547,14,4,4861,QR Payment,11/18/2025
548,44,8,4995,Debit Card,8/21/2025
549,61,1,1188,QR Payment,8/11/2025
550,98,2,1215,Bank Transfer,2/27/2026
551,39,8,550,Bank Transfer,1/9/2026
552,21,5,3336,Bank Transfer,7/7/2025
553,86,6,980,Debit Card,12/9/2025
554,71,1,4205,E-wallet,9/20/2025
555,30,3,3147,QR Payment,8/12/2025
556,117,7,3602,Bank Transfer,1/18/2026
557,22,7,975,QR Payment,12/1/2025
558,44,8,3886,QR Payment,7/12/2025
559,83,7,311,Credit Card,3/7/2026
560,32,5,162,Credit Card,1/15/2026
561,18,4,466,Debit Card,7/8/2025
562,16,4,4206,Credit Card,4/4/2026
563,119,6,696,Bank Transfer,6/18/2025
564,46,4,3228,QR Payment,9/19/2025
565,86,4,2347,Bank Transfer,8/12/2025
566,64,1,2352,Bank Transfer,1/7/2026
567,71,8,4468,Bank Transfer,12/26/2025
568,72,2,1451,Debit Card,5/3/2026
569,43,7,3144,Bank Transfer,12/21/2025
570,108,1,23,QR Payment,2/9/2026
571,97,2,2296,Credit Card,12/6/2025
572,39,5,3655,QR Payment,8/9/2025
573,112,6,1450,Debit Card,1/15/2026
574,71,7,1577,Credit Card,3/30/2026
575,47,7,3157,Debit Card,3/1/2026
576,83,6,1140,QR Payment,12/13/2025
577,1,7,847,Credit Card,3/20/2026
578,42,5,4064,Bank Transfer,8/22/2025
579,102,2,2485,QR Payment,4/1/2026
580,116,4,2667,Credit Card,5/24/2025
581,113,2,4854,Debit Card,8/8/2025
582,39,2,4518,Debit Card,7/2/2025
583,33,3,3184,Credit Card,1/2/2026
584,3,8,187,Credit Card,3/10/2026
585,7,5,4325,Credit Card,10/19/2025
586,116,3,4682,Bank Transfer,11/21/2025
587,18,7,998,QR Payment,12/18/2025
588,58,1,3424,Bank Transfer,6/25/2025
589,55,1,4305,E-wallet,4/3/2026
590,100,6,76,Credit Card,1/23/2026
591,33,3,4606,E-wallet,10/30/2025
592,18,8,4214,E-wallet,5/27/2025
593,74,7,4352,Bank Transfer,5/19/2026
594,91,1,4777,Bank Transfer,3/27/2026
595,108,8,2449,Debit Card,4/12/2026
596,112,7,482,Credit Card,11/28/2025
597,80,3,2518,Credit Card,12/10/2025
598,5,4,4397,Credit Card,9/10/2025
599,16,8,1446,E-wallet,3/3/2026
600,1,3,2883,Credit Card,1/17/2026
601,45,4,1585,QR Payment,12/11/2025
602,53,7,1185,Debit Card,8/14/2025
603,77,3,4839,Bank Transfer,4/24/2026
604,103,3,4080,Debit Card,11/14/2025
605,80,2,2774,Credit Card,4/27/2026
606,116,1,2508,Credit Card,7/22/2025
607,60,1,3189,QR Payment,5/24/2025
608,86,4,1761,Debit Card,11/26/2025
609,61,1,1524,Bank Transfer,3/22/2026
610,83,4,4800,Credit Card,1/4/2026
611,91,7,3486,Bank Transfer,8/27/2025
612,39,5,3094,E-wallet,12/1/2025
613,6,7,2935,QR Payment,2/22/2026
614,88,1,2799,E-wallet,7/12/2025
615,73,2,4559,Debit Card,6/19/2025
616,25,1,4885,Bank Transfer,4/13/2026
617,115,2,3790,Credit Card,11/12/2025
618,19,6,4324,Credit Card,9/12/2025
619,58,6,3082,E-wallet,3/7/2026
620,95,7,3052,Debit Card,9/9/2025
621,47,4,4070,QR Payment,9/23/2025
622,86,6,360,E-wallet,1/25/2026
623,71,3,1766,E-wallet,2/2/2026
624,66,5,4941,QR Payment,9/5/2025
625,39,8,157,E-wallet,5/29/2025
626,20,6,1124,E-wallet,10/30/2025
627,102,7,4136,Credit Card,5/29/2025
